BOOT_BUTTON,23.97,-3.64,180.00,BUTTON_CUSYOMV11,MYBUTTON
C1,151.34,-107.97,270.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,67.61,-3.87,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10_SUPERCAP,93.42,-65.07,270.00,CPH3225A,CAPCP3225X100N
C1_BAT,122.90,-75.26,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT1,104.67,-83.55,180.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT2,113.97,-71.56,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2,152.90,-108.00,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2_BAT,98.45,-77.05,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,113.89,-79.20,90.00,"100uF TANT",RCL_CT3528
C4,85.40,-74.56,90.00,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C4_USB,147.36,-64.38,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5,52.59,-3.68,90.00,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5_USB,153.77,-57.20,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C6,27.55,-3.36,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,73.76,-78.37,180.00,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C8,84.50,-67.68,0.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C9,11.62,-11.84,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
CHANGE_BUTTON,63.97,-3.64,180.00,BUTTON_CUSYOMV11,MYBUTTON
CHG_LED,104.22,-65.67,90.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,52.36,-9.87,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
D1,152.40,-64.44,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,33.04,-90.59,90.00,PGB1010603MR1,DIOC1608X36N
D11,27.63,-88.88,270.00,PGB1010603MR1,DIOC1608X36N
